CustomerID,Age,Gender,Income_Level,Health_Conscious_Score,Current_Food_Preference,Purchase_Intention,Willingness_To_Pay_INR,Feature_Preference_Taste,Feature_Preference_Freshness,Feature_Preference_Packaging,Feature_Preference_Price,Feature_Preference_Availability,Expected_Repeat_Purchase_Rate,Open_Ended_Feedback,Preferred_Channel,Proximity_to_Store,Channel_Satisfaction,Awareness_Source,Promo_Response,Ad_Recall_Score,Coupon_Usage(%),Brand_Engagement
11,29,Female,Medium,2,Sandwiches,0,307,1,5,1,1,2,0.52,"Price is a concern, salads are usually costly.",Delivery App,2.48,2,In-store Promo,No,2,48,Low
12,42,Female,High,8,Pizza,1,375,5,4,2,3,2,0.71,I'd love a fresh salad option on the menu.,Takeaway Counter,3.71,1,Word of Mouth,Yes,5,61,Medium
13,51,Male,Low,9,Burgers,0,206,1,4,1,5,2,0.38,I'd switch some visits to a salad if it's affordable.,Takeaway Counter,0.29,1,In-store Promo,No,5,66,Low
14,34,Male,Medium,6,Fried Chicken,1,194,3,2,1,1,4,0.91,I'd switch some visits to a salad if it's affordable.,Takeaway Counter,4.98,1,Online Ads,Yes,3,16,High
15,22,Male,Medium,3,Sandwiches,0,285,5,5,5,1,5,0.33,"I usually come here for indulgent food, not salads.",Drive-Thru,4.7,2,Word of Mouth,Yes,1,95,Medium
16,35,Female,Medium,6,Fried Chicken,0,339,5,2,1,1,4,0.44,"I usually come here for indulgent food, not salads.",Drive-Thru,0.12,2,Word of Mouth,Yes,4,70,Medium
17,53,Male,Low,3,Wraps,1,218,5,3,3,3,1,0.82,Would try it if there are good dressing options.,Dine-In,3.44,1,Word of Mouth,No,4,79,Medium
18,33,Male,High,3,Sandwiches,1,291,3,3,2,3,2,0.61,Would love a combo with salad instead of fries.,Drive-Thru,1.97,1,In-store Promo,Yes,4,44,Low
19,32,Male,Low,4,Sandwiches,1,325,3,2,5,3,1,0.92,Not sure if a salad fits a fast food place.,Online Order/App,0.97,3,Social Media,Yes,4,44,Medium
20,38,Female,Medium,9,Burgers,1,307,3,5,5,5,2,0.92,Would try it if there are good dressing options.,Delivery App,0.44,3,Online Ads,Yes,1,92,High
21,50,Female,Medium,6,Sandwiches,0,279,2,2,2,5,5,0.59,"I usually come here for indulgent food, not salads.",Delivery App,2.78,1,Word of Mouth,Yes,4,100,Medium
22,59,Female,Medium,8,Fries/Sides Only,1,279,2,4,5,3,1,0.76,Great idea if the portions are filling enough.,Online Order/App,1.2,2,TV,Yes,2,60,Medium
23,22,Female,Medium,10,Fried Chicken,1,277,4,5,1,1,4,0.95,Great idea if the portions are filling enough.,Dine-In,4.04,5,In-store Promo,Yes,2,15,Medium
24,47,Other,Medium,9,Wraps,1,343,4,3,5,4,5,0.72,Healthy options would make me visit more often.,Dine-In,3.74,4,In-store Promo,Yes,2,81,Low
25,51,Female,Medium,5,Sandwiches,1,217,3,2,1,2,2,0.95,Great idea if the portions are filling enough.,Delivery App,3.5,2,Social Media,Yes,3,69,Medium
26,21,Male,High,7,None,0,315,5,4,3,3,4,0.45,Convenience matters more to me than health.,Takeaway Counter,3.76,5,Online Ads,No,4,28,Low
27,49,Male,Medium,7,Fries/Sides Only,1,269,2,5,4,5,5,0.82,Packaging needs to keep it fresh till I get home.,Drive-Thru,0.51,4,TV,No,2,6,Low
28,38,Male,Medium,6,None,0,224,4,4,1,5,1,0.48,Would try it if there are good dressing options.,Dine-In,3.29,1,Social Media,No,2,2,Medium
29,33,Male,Medium,2,Wraps,0,229,3,3,5,1,2,0.25,"I usually come here for indulgent food, not salads.",Drive-Thru,2.94,3,Online Ads,No,4,50,High
30,30,Male,Medium,4,Burgers,0,212,5,4,5,1,3,0.13,Worried a salad won't taste as good as your burgers.,Delivery App,3.34,1,Online Ads,No,1,53,High
31,24,Female,High,8,Fries/Sides Only,1,219,5,5,5,4,4,0.83,Convenience matters more to me than health.,Takeaway Counter,1.42,2,Social Media,Yes,4,31,Medium
32,54,Other,Medium,6,Burgers,1,233,4,4,3,3,5,0.95,Would love a combo with salad instead of fries.,Online Order/App,2.82,5,TV,Yes,4,62,Medium
33,33,Other,Medium,8,Sandwiches,0,203,2,4,5,3,4,0.52,Worried a salad won't taste as good as your burgers.,Takeaway Counter,1.78,5,Word of Mouth,Yes,4,34,Low
34,32,Male,Medium,6,Burgers,0,358,2,4,3,5,5,0.65,I'd switch some visits to a salad if it's affordable.,Online Order/App,4.9,2,Word of Mouth,Yes,2,38,Low
35,52,Male,Low,1,Wraps,0,317,4,2,3,4,4,0.33,Healthy options would make me visit more often.,Online Order/App,1.0,1,Word of Mouth,No,4,14,High
36,43,Female,Low,1,Fried Chicken,1,241,3,3,5,4,5,0.78,I'd switch some visits to a salad if it's affordable.,Takeaway Counter,1.21,5,In-store Promo,Yes,4,38,High
37,45,Female,Medium,1,Wraps,0,148,2,2,1,2,2,0.24,"Price is a concern, salads are usually costly.",Takeaway Counter,0.47,1,In-store Promo,Yes,5,60,Low
38,32,Female,Medium,8,Burgers,0,369,5,3,4,1,5,0.16,Great idea if the portions are filling enough.,Dine-In,4.55,2,Social Media,Yes,3,76,Medium
39,54,Female,Medium,8,Fries/Sides Only,1,265,3,3,1,5,1,0.86,Convenience matters more to me than health.,Online Order/App,3.06,1,Social Media,Yes,5,75,High
40,35,Other,Low,3,Sandwiches,0,232,3,3,4,1,4,0.54,Would try it if there are good dressing options.,Delivery App,1.73,1,TV,Yes,4,36,Medium
41,43,Other,Low,2,Pizza,1,159,4,4,1,5,4,0.53,Convenience matters more to me than health.,Drive-Thru,1.02,3,Online Ads,No,4,97,Low
42,35,Other,Low,5,Sandwiches,0,257,1,5,2,2,3,0.37,Worried a salad won't taste as good as your burgers.,Drive-Thru,2.81,1,TV,No,1,59,High
43,59,Male,Medium,5,Wraps,0,243,4,4,5,2,4,0.39,Great idea if the portions are filling enough.,Takeaway Counter,2.59,2,Social Media,Yes,4,43,High
44,50,Female,High,5,Fries/Sides Only,1,277,4,4,4,3,3,0.68,Worried a salad won't taste as good as your burgers.,Takeaway Counter,1.95,3,TV,No,2,73,Low
45,44,Male,Low,8,Fries/Sides Only,0,260,2,4,5,5,3,0.46,Not sure if a salad fits a fast food place.,Delivery App,0.59,4,Social Media,No,4,83,High
46,22,Female,High,5,Pizza,0,239,1,5,5,4,3,0.16,Packaging needs to keep it fresh till I get home.,Delivery App,4.37,1,Online Ads,Yes,3,29,Medium
47,45,Male,High,2,Sandwiches,1,196,1,4,3,3,3,0.82,Convenience matters more to me than health.,Dine-In,1.3,4,Online Ads,No,2,21,Low
48,57,Female,Medium,4,Sandwiches,0,181,4,2,1,4,3,0.25,Packaging needs to keep it fresh till I get home.,Takeaway Counter,0.87,4,Word of Mouth,No,3,81,High
49,34,Female,High,4,Sandwiches,0,173,4,2,3,1,4,0.29,"I usually come here for indulgent food, not salads.",Drive-Thru,2.87,1,Online Ads,No,3,99,Medium
50,56,Female,Low,4,Wraps,1,303,2,2,1,3,4,0.55,I'd love a fresh salad option on the menu.,Takeaway Counter,1.89,2,Social Media,No,3,95,Medium
51,30,Male,High,6,Wraps,1,223,2,4,4,3,3,0.95,Not sure if a salad fits a fast food place.,Delivery App,4.82,2,TV,No,4,71,Low
52,43,Male,Low,2,Sandwiches,0,286,3,1,3,1,2,0.2,Healthy options would make me visit more often.,Drive-Thru,3.14,5,Word of Mouth,No,2,82,Low
53,47,Other,Low,7,Burgers,1,365,3,5,2,5,2,0.84,Convenience matters more to me than health.,Delivery App,1.92,5,In-store Promo,No,2,53,Medium
54,49,Other,Medium,5,Burgers,0,203,4,5,1,3,5,0.31,Packaging needs to keep it fresh till I get home.,Online Order/App,0.4,3,TV,No,4,11,Medium
55,59,Other,Medium,1,Burgers,0,177,2,2,5,2,5,0.22,Great idea if the portions are filling enough.,Dine-In,1.71,2,Online Ads,Yes,2,16,Medium
56,29,Male,Medium,1,Fried Chicken,1,286,2,2,3,1,2,0.71,Would love a combo with salad instead of fries.,Delivery App,2.68,1,In-store Promo,Yes,3,65,Medium
57,46,Other,Low,10,Burgers,1,382,5,5,1,1,4,0.95,Convenience matters more to me than health.,Delivery App,3.46,4,In-store Promo,Yes,1,41,Medium
58,22,Male,Low,10,Wraps,1,276,5,4,5,4,1,0.87,Would love a combo with salad instead of fries.,Drive-Thru,4.28,5,TV,Yes,2,52,Low
59,47,Female,Medium,2,Pizza,0,269,3,4,4,1,1,0.27,Not sure if a salad fits a fast food place.,Drive-Thru,2.22,3,TV,No,5,71,Medium
60,60,Male,Medium,7,None,0,186,3,3,5,5,2,0.36,"Price is a concern, salads are usually costly.",Delivery App,1.2,1,Word of Mouth,No,3,14,Medium
61,54,Male,High,9,None,0,315,5,5,3,1,2,0.54,"I usually come here for indulgent food, not salads.",Online Order/App,4.62,3,Social Media,Yes,2,72,Medium
62,22,Male,Medium,1,Burgers,0,171,4,2,3,3,5,0.35,I'd switch some visits to a salad if it's affordable.,Drive-Thru,4.43,2,TV,No,1,86,Low
63,46,Other,Medium,10,Sandwiches,1,243,5,5,3,5,4,0.95,Worried a salad won't taste as good as your burgers.,Online Order/App,0.32,4,Online Ads,Yes,2,38,High
64,26,Female,Low,2,Burgers,0,222,2,1,5,5,3,0.5,Not sure if a salad fits a fast food place.,Delivery App,4.32,1,In-store Promo,Yes,1,40,Medium
65,54,Female,Medium,7,Pizza,1,180,3,5,4,3,1,0.95,Convenience matters more to me than health.,Drive-Thru,1.29,5,In-store Promo,Yes,4,39,Medium
66,32,Female,High,2,Wraps,0,242,2,3,2,2,1,0.26,"Price is a concern, salads are usually costly.",Online Order/App,1.07,5,TV,No,1,22,High
67,58,Female,Medium,10,None,1,336,5,3,3,3,2,0.56,Healthy options would make me visit more often.,Drive-Thru,2.4,3,Word of Mouth,No,3,64,Low
68,47,Female,Low,6,None,1,297,1,3,4,5,5,0.7,Would love a combo with salad instead of fries.,Drive-Thru,2.3,5,TV,Yes,4,64,Low
69,21,Female,Low,6,Fries/Sides Only,1,297,1,4,4,5,5,0.95,I'd switch some visits to a salad if it's affordable.,Dine-In,1.88,3,In-store Promo,Yes,3,86,Medium
70,58,Other,Low,6,Burgers,0,245,3,4,5,2,3,0.2,Not sure if a salad fits a fast food place.,Takeaway Counter,3.35,3,Word of Mouth,No,4,16,Medium
71,23,Female,Medium,6,None,1,309,5,5,5,3,1,0.94,Would try it if there are good dressing options.,Online Order/App,0.98,2,Word of Mouth,No,4,24,Low
72,26,Male,Low,2,Wraps,0,303,5,3,5,2,5,0.37,Convenience matters more to me than health.,Dine-In,0.9,5,TV,No,1,52,Low
73,33,Female,Medium,8,Fried Chicken,1,246,4,5,5,4,4,0.8,"I usually come here for indulgent food, not salads.",Delivery App,2.56,4,TV,No,5,17,High
74,21,Other,Medium,6,Wraps,0,310,5,4,2,3,4,0.32,Worried a salad won't taste as good as your burgers.,Dine-In,4.17,1,TV,No,3,3,Medium
75,43,Other,Medium,7,Burgers,1,182,1,5,2,2,1,0.66,"I usually come here for indulgent food, not salads.",Delivery App,3.51,2,In-store Promo,Yes,1,10,Low
76,31,Male,Medium,10,Wraps,1,355,2,5,4,5,4,0.94,Not sure if a salad fits a fast food place.,Drive-Thru,4.2,4,Online Ads,Yes,5,73,Low
77,27,Female,Medium,10,Pizza,1,283,1,4,5,5,5,0.88,Worried a salad won't taste as good as your burgers.,Takeaway Counter,0.2,4,Social Media,No,3,32,Medium
78,40,Male,Low,2,None,0,287,2,4,2,4,4,0.39,Packaging needs to keep it fresh till I get home.,Dine-In,4.08,1,In-store Promo,Yes,2,5,Medium
79,20,Female,High,9,Sandwiches,0,301,3,5,3,3,1,0.53,Packaging needs to keep it fresh till I get home.,Online Order/App,1.44,3,In-store Promo,No,4,49,Low
80,29,Female,Medium,6,None,0,328,4,5,2,5,3,0.52,Would try it if there are good dressing options.,Drive-Thru,0.49,3,Word of Mouth,Yes,4,21,Medium
81,40,Female,Low,6,Wraps,0,223,1,5,3,5,2,0.52,I'd love a fresh salad option on the menu.,Dine-In,4.26,4,Social Media,Yes,2,99,Medium
82,41,Female,High,1,Wraps,1,218,3,1,5,2,5,0.9,Would try it if there are good dressing options.,Delivery App,1.64,3,TV,No,1,94,Low
83,51,Female,High,2,Pizza,0,277,2,3,4,2,1,0.34,"Price is a concern, salads are usually costly.",Drive-Thru,2.32,4,Social Media,No,3,85,Low
84,22,Other,Medium,5,None,1,302,2,4,1,2,2,0.63,Great idea if the portions are filling enough.,Delivery App,0.23,5,Online Ads,Yes,5,16,Medium
85,23,Male,Low,8,Wraps,1,266,5,5,1,4,4,0.95,Packaging needs to keep it fresh till I get home.,Takeaway Counter,1.79,5,Online Ads,Yes,2,55,Medium
86,21,Male,Medium,5,Fried Chicken,1,347,2,2,3,1,3,0.95,Great idea if the portions are filling enough.,Takeaway Counter,1.44,3,Online Ads,Yes,5,82,Low
87,55,Male,Low,10,Fries/Sides Only,0,268,5,5,1,1,5,0.58,"I usually come here for indulgent food, not salads.",Dine-In,3.86,4,Online Ads,No,4,80,Medium
88,59,Female,Medium,7,Pizza,1,314,2,3,2,3,5,0.9,"Price is a concern, salads are usually costly.",Online Order/App,4.32,3,Word of Mouth,No,2,97,Low
89,53,Male,Low,8,Burgers,1,234,1,5,5,4,2,0.95,"Price is a concern, salads are usually costly.",Online Order/App,4.68,3,TV,No,4,65,Medium
90,37,Female,Low,7,Wraps,1,224,5,4,4,5,4,0.88,"I usually come here for indulgent food, not salads.",Takeaway Counter,0.14,1,In-store Promo,Yes,3,93,Low
91,43,Female,Low,1,Wraps,0,201,3,3,5,3,5,0.4,Packaging needs to keep it fresh till I get home.,Takeaway Counter,0.68,1,In-store Promo,Yes,3,71,High
92,27,Male,Medium,7,Wraps,1,184,3,5,2,5,5,0.67,"Price is a concern, salads are usually costly.",Online Order/App,4.66,3,TV,Yes,5,94,High
93,55,Female,Medium,9,Wraps,1,305,4,5,1,4,5,0.75,"I usually come here for indulgent food, not salads.",Drive-Thru,3.02,3,Online Ads,No,1,74,Medium
94,51,Other,Medium,7,Fried Chicken,0,224,5,5,1,4,3,0.42,Convenience matters more to me than health.,Dine-In,2.12,2,In-store Promo,Yes,5,60,High
95,21,Other,Low,4,Wraps,1,284,5,1,4,5,3,0.95,Worried a salad won't taste as good as your burgers.,Online Order/App,3.41,3,Online Ads,Yes,2,35,Medium
96,32,Female,High,4,Fries/Sides Only,0,215,3,1,3,3,1,0.25,I'd switch some visits to a salad if it's affordable.,Takeaway Counter,1.96,4,Word of Mouth,No,2,37,Low
97,23,Female,High,5,Fries/Sides Only,0,200,5,3,3,2,1,0.59,I'd switch some visits to a salad if it's affordable.,Takeaway Counter,1.27,1,Online Ads,Yes,2,6,Low
98,39,Other,Medium,3,Burgers,0,340,2,1,4,4,2,0.55,"I usually come here for indulgent food, not salads.",Online Order/App,1.5,1,Social Media,No,2,68,Medium
99,20,Male,Medium,3,Burgers,0,223,4,4,3,1,1,0.59,"I usually come here for indulgent food, not salads.",Takeaway Counter,3.05,3,Word of Mouth,Yes,5,67,Medium
100,26,Other,Medium,4,None,1,184,4,2,1,3,3,0.59,I'd switch some visits to a salad if it's affordable.,Dine-In,0.96,4,In-store Promo,Yes,1,51,Medium
101,29,Male,Medium,4,Burgers,1,199,3,4,5,1,3,0.74,Packaging needs to keep it fresh till I get home.,Online Order/App,3.49,1,Social Media,Yes,2,51,Medium
102,37,Other,Low,5,Pizza,0,204,2,2,5,3,4,0.42,Would love a combo with salad instead of fries.,Takeaway Counter,4.57,5,TV,No,5,100,Low
103,46,Other,Medium,2,Wraps,1,302,5,3,2,3,5,0.92,Healthy options would make me visit more often.,Drive-Thru,3.43,5,In-store Promo,Yes,5,57,High
104,47,Male,Medium,8,Wraps,1,276,3,4,1,2,5,0.71,Not sure if a salad fits a fast food place.,Drive-Thru,2.18,1,Online Ads,No,1,60,Low
105,44,Male,High,7,Pizza,0,252,4,3,5,2,3,0.6,Not sure if a salad fits a fast food place.,Dine-In,4.96,4,Online Ads,Yes,2,0,Medium
106,37,Female,Medium,9,Sandwiches,1,357,2,4,2,1,1,0.9,Packaging needs to keep it fresh till I get home.,Delivery App,3.11,1,TV,Yes,1,76,Low
107,56,Other,Medium,1,Fried Chicken,0,208,2,1,1,2,5,0.26,"I usually come here for indulgent food, not salads.",Dine-In,4.1,5,Word of Mouth,No,3,30,Low
108,27,Other,Medium,7,Pizza,1,287,5,5,4,5,4,0.61,I'd love a fresh salad option on the menu.,Online Order/App,4.71,4,Online Ads,Yes,4,52,Low
109,42,Male,High,8,Fried Chicken,0,244,2,5,5,4,4,0.15,Worried a salad won't taste as good as your burgers.,Takeaway Counter,0.76,2,Word of Mouth,Yes,1,57,High
110,23,Other,Medium,4,Burgers,1,287,5,4,5,5,2,0.79,Healthy options would make me visit more often.,Dine-In,4.36,3,Word of Mouth,No,1,27,High
111,25,Other,High,8,Fried Chicken,0,325,4,5,3,4,4,0.36,Worried a salad won't taste as good as your burgers.,Online Order/App,1.61,3,Online Ads,No,4,12,High
112,48,Female,High,6,Pizza,1,281,2,4,5,5,5,0.79,Would love a combo with salad instead of fries.,Delivery App,1.55,2,Word of Mouth,Yes,5,31,Medium
113,59,Other,Low,8,Fries/Sides Only,0,282,2,4,2,5,4,0.32,"Price is a concern, salads are usually costly.",Takeaway Counter,4.95,1,Online Ads,Yes,1,85,Low
114,18,Female,Low,4,Burgers,0,154,5,3,5,4,4,0.39,I'd love a fresh salad option on the menu.,Drive-Thru,2.71,4,Social Media,Yes,3,68,High
115,19,Other,High,7,None,0,212,1,3,5,5,3,0.42,Would try it if there are good dressing options.,Online Order/App,4.0,1,Word of Mouth,No,4,72,Low
116,32,Female,Medium,2,Fries/Sides Only,0,266,1,3,5,4,1,0.42,Packaging needs to keep it fresh till I get home.,Drive-Thru,3.54,1,In-store Promo,No,3,72,High
117,24,Other,High,4,Fried Chicken,0,290,5,3,1,3,5,0.39,I'd switch some visits to a salad if it's affordable.,Drive-Thru,0.98,3,Social Media,No,5,18,Medium
118,43,Male,Low,10,Fried Chicken,1,370,5,4,2,1,5,0.95,Would love a combo with salad instead of fries.,Online Order/App,0.36,4,TV,No,3,77,Medium
119,56,Female,High,6,Burgers,0,325,4,3,4,4,2,0.43,Packaging needs to keep it fresh till I get home.,Takeaway Counter,3.34,1,Online Ads,Yes,2,91,Low
120,35,Male,Medium,3,Fries/Sides Only,0,216,1,4,3,3,1,0.36,"Price is a concern, salads are usually costly.",Drive-Thru,1.02,4,Online Ads,No,4,13,Low
121,40,Other,Low,10,None,1,277,3,4,5,2,5,0.95,Worried a salad won't taste as good as your burgers.,Dine-In,3.46,2,TV,Yes,3,63,Low
122,28,Female,Low,5,Sandwiches,0,232,2,3,5,2,4,0.23,Not sure if a salad fits a fast food place.,Dine-In,1.59,4,Word of Mouth,No,4,42,Medium
123,45,Other,High,3,Pizza,1,333,2,2,4,3,3,0.77,Would love a combo with salad instead of fries.,Delivery App,4.84,2,Word of Mouth,Yes,4,46,Low
124,54,Male,Medium,9,Fried Chicken,1,302,4,5,3,1,4,0.84,Packaging needs to keep it fresh till I get home.,Delivery App,0.78,3,TV,Yes,2,91,Medium
125,42,Male,Medium,10,Sandwiches,1,307,4,3,3,5,5,0.83,Packaging needs to keep it fresh till I get home.,Drive-Thru,0.64,2,Word of Mouth,Yes,5,5,Medium
126,59,Other,Medium,6,None,1,170,3,4,5,5,5,0.95,Great idea if the portions are filling enough.,Delivery App,1.93,4,Online Ads,No,2,44,High
127,48,Male,Low,2,Burgers,0,282,3,2,2,5,4,0.49,Would try it if there are good dressing options.,Delivery App,0.58,4,Word of Mouth,Yes,1,90,Low
128,39,Other,Low,3,Fries/Sides Only,1,179,2,2,4,2,4,0.9,Packaging needs to keep it fresh till I get home.,Dine-In,1.01,4,In-store Promo,Yes,5,25,Medium
129,45,Female,Low,4,Fried Chicken,1,293,1,2,5,2,3,0.65,Would try it if there are good dressing options.,Dine-In,2.34,3,In-store Promo,Yes,3,76,Low
130,43,Other,Low,6,None,1,203,3,5,2,3,1,0.72,Great idea if the portions are filling enough.,Online Order/App,0.67,3,TV,Yes,4,76,Low
131,42,Female,Low,9,Fries/Sides Only,0,378,2,4,2,2,3,0.42,Healthy options would make me visit more often.,Takeaway Counter,0.36,3,Social Media,Yes,2,49,High
132,50,Other,Medium,8,Sandwiches,0,273,2,5,2,3,1,0.48,"I usually come here for indulgent food, not salads.",Dine-In,2.73,2,In-store Promo,No,4,70,Medium
133,54,Male,Low,9,None,0,300,1,5,2,4,1,0.32,Would love a combo with salad instead of fries.,Dine-In,1.56,1,In-store Promo,Yes,1,56,High
134,25,Male,Low,10,Fries/Sides Only,1,342,4,5,2,2,1,0.95,I'd switch some visits to a salad if it's affordable.,Online Order/App,2.71,5,Online Ads,Yes,3,37,Medium
135,50,Other,High,3,None,0,328,3,3,2,2,2,0.3,Would love a combo with salad instead of fries.,Online Order/App,4.16,4,In-store Promo,Yes,3,80,Medium
136,46,Male,Medium,2,Sandwiches,0,192,3,1,5,1,1,0.39,Would love a combo with salad instead of fries.,Delivery App,3.21,3,Social Media,No,4,27,High
137,31,Female,Low,5,Pizza,0,186,4,4,1,1,1,0.09,Packaging needs to keep it fresh till I get home.,Delivery App,0.18,2,In-store Promo,Yes,4,25,High
138,26,Other,Low,5,Burgers,0,210,3,3,1,4,3,0.21,Would love a combo with salad instead of fries.,Dine-In,2.2,1,Social Media,Yes,4,9,Low
139,32,Other,Medium,1,Burgers,0,291,4,2,2,4,1,0.16,Would love a combo with salad instead of fries.,Drive-Thru,0.61,3,Word of Mouth,Yes,2,82,High
140,27,Male,Medium,1,Wraps,0,216,2,2,4,5,4,0.26,Great idea if the portions are filling enough.,Drive-Thru,4.49,2,Social Media,No,4,44,High
141,38,Male,Low,2,Fried Chicken,0,256,5,2,1,3,2,0.69,Worried a salad won't taste as good as your burgers.,Takeaway Counter,2.6,4,Word of Mouth,No,2,63,Low
142,33,Female,Medium,2,Wraps,0,138,3,3,5,4,3,0.31,Worried a salad won't taste as good as your burgers.,Dine-In,3.84,1,Social Media,No,1,33,Low
143,21,Female,Medium,9,None,1,332,1,4,2,3,1,0.74,"I usually come here for indulgent food, not salads.",Drive-Thru,2.61,2,TV,Yes,4,75,Medium
144,59,Other,Medium,5,Fries/Sides Only,1,351,2,4,4,1,4,0.82,I'd switch some visits to a salad if it's affordable.,Takeaway Counter,0.37,2,Social Media,Yes,2,89,Low
145,49,Female,Medium,5,Fried Chicken,1,310,3,3,1,3,4,0.73,"I usually come here for indulgent food, not salads.",Takeaway Counter,0.41,5,Social Media,Yes,5,46,Low
146,54,Male,Medium,5,None,1,275,1,4,1,1,2,0.95,I'd love a fresh salad option on the menu.,Delivery App,1.88,2,TV,No,1,70,High
147,59,Female,Low,4,Sandwiches,0,216,1,3,1,2,2,0.35,Worried a salad won't taste as good as your burgers.,Drive-Thru,4.77,1,In-store Promo,No,3,41,Low
148,47,Male,Medium,5,Wraps,0,308,2,2,4,2,5,0.45,Great idea if the portions are filling enough.,Dine-In,0.13,4,Social Media,Yes,3,81,High
149,18,Female,Low,7,None,0,238,2,3,4,1,2,0.42,Would love a combo with salad instead of fries.,Online Order/App,0.56,2,Online Ads,Yes,3,58,High
150,23,Other,Low,3,Fries/Sides Only,0,159,5,4,2,2,3,0.44,"I usually come here for indulgent food, not salads.",Online Order/App,4.64,4,Word of Mouth,Yes,3,29,Low
151,30,Male,High,10,Burgers,1,233,4,5,3,2,4,0.95,"I usually come here for indulgent food, not salads.",Delivery App,1.4,1,Social Media,Yes,3,90,Medium
152,20,Male,High,6,Fried Chicken,1,218,3,4,3,3,2,0.85,I'd love a fresh salad option on the menu.,Delivery App,4.29,5,Online Ads,Yes,4,13,High
153,26,Male,Low,4,Fried Chicken,1,232,1,3,1,1,1,0.72,Great idea if the portions are filling enough.,Delivery App,4.07,1,Word of Mouth,Yes,4,6,Low
154,54,Female,High,7,Sandwiches,1,313,2,3,3,3,4,0.95,"Price is a concern, salads are usually costly.",Drive-Thru,3.11,5,TV,No,4,52,High
155,48,Male,Low,7,Fried Chicken,1,305,5,4,5,1,4,0.95,Would love a combo with salad instead of fries.,Online Order/App,2.45,4,Word of Mouth,No,5,41,Low
156,29,Male,Low,4,Burgers,0,308,1,4,3,5,2,0.22,"Price is a concern, salads are usually costly.",Drive-Thru,1.31,2,Word of Mouth,Yes,1,97,High
157,32,Other,High,7,Pizza,0,374,2,5,3,5,1,0.62,Would love a combo with salad instead of fries.,Online Order/App,4.74,5,TV,No,2,63,Medium
158,29,Female,Low,1,Fried Chicken,0,132,4,5,2,2,3,0.32,Would love a combo with salad instead of fries.,Dine-In,4.6,3,Social Media,Yes,5,90,High
159,25,Other,High,2,Pizza,0,268,5,3,2,2,4,0.42,Packaging needs to keep it fresh till I get home.,Delivery App,3.28,2,Online Ads,No,5,100,Low
160,60,Other,High,7,Pizza,0,235,2,4,5,4,5,0.08,I'd love a fresh salad option on the menu.,Dine-In,3.05,5,TV,No,1,63,Low
161,22,Male,Low,6,Fried Chicken,0,361,3,3,2,1,3,0.46,"I usually come here for indulgent food, not salads.",Drive-Thru,3.63,1,In-store Promo,Yes,4,21,High
162,49,Female,Medium,7,Burgers,0,334,5,3,2,4,1,0.25,I'd love a fresh salad option on the menu.,Online Order/App,0.2,3,Social Media,Yes,2,48,Low
163,22,Other,High,2,Pizza,0,259,4,2,2,5,4,0.19,"Price is a concern, salads are usually costly.",Drive-Thru,0.6,2,TV,Yes,5,92,High
164,52,Female,Medium,5,Fried Chicken,1,239,5,4,3,1,4,0.73,Not sure if a salad fits a fast food place.,Online Order/App,4.14,5,In-store Promo,Yes,1,26,Low
